punto_turistico;viajeros_residentes;viajeros_extranjero;pernoctaciones_residentes;pernoctaciones_extranjero
01059 Vitoria-Gasteiz;26,397;17,332;61,155;27,200
02003 Albacete;11,968;2,411;20,232;4,448
03014 Alacant/Alicante;39,396;43,912;95,822;141,053
03031 Benidorm;136,676;131,074;596,013;754,863
03063 Dénia;15,189;4,468;42,383;14,732
03065 Elx/Elche;12,156;9,601;26,426;19,077
04013 Almería;33,311;10,100;109,913;24,647
04064 Mojácar;38,038;4,863;168,621;21,974
04066 Níjar;13,987;1,779;42,413;4,467
04079 Roquetas de Mar;77,934;19,266;341,257;123,287
05019 Ávila;30,704;4,542;45,167;6,885
06015 Badajoz;11,802;6,558;19,565;11,301
06083 Mérida;24,490;4,136;37,310;6,408
07011 Calvià;23,699;260,268;114,061;1,568,373
07014 Capdepera;17,469;71,987;84,435;479,592
07040 Palma;22,440;317,898;74,743;1,384,308
07051 Sant Llorenç des Cardassar;6,192;101,863;31,924;742,751
08019 Barcelona;92,249;672,650;191,067;1,993,905
08270 Sitges;9,715;22,450;25,883;86,603
09059 Burgos;37,484;26,342;57,493;31,902
10037 Cáceres;23,502;7,390;34,280;10,177
10148 Plasencia;9,087;1,100;15,793;1,961
10195 Trujillo;7,759;629;12,518;1,076
11004 Algeciras;14,230;14,017;22,974;20,664
11006 Arcos de la Frontera;4,251;1,574;8,706;2,498
11012 Cádiz;21,249;9,378;70,342;25,572
11020 Jerez de la Frontera;24,841;8,698;65,855;20,068
11027 Puerto de Santa María, El;20,964;2,406;67,148;7,217
11035 Tarifa;28,772;9,075;63,586;15,087
12040 Castelló de la Plana;16,788;10,685;37,718;21,233
12089 Peníscola/Peñíscola;53,775;4,811;249,235;18,943
13034 Ciudad Real;10,406;2,317;16,210;3,267
14021 Córdoba;33,364;35,189;56,021;55,344
15030 Coruña, A;37,159;13,547;92,383;29,292
15078 Santiago de Compostela;72,799;44,275;136,772;75,273
16078 Cuenca;16,647;2,262;29,906;4,448
17095 Lloret de Mar;41,991;138,860;156,875;766,689
18087 Granada;72,018;69,982;133,264;129,401
19257 Sigüenza;3,715;648;7,888;949
20069 Donostia/San Sebastián;31,643;62,258;74,997;145,004
22054 Benasque;10,353;1,186;35,509;2,712
22130 Jaca;15,534;1,919;45,236;3,636
22204 Sallent de Gállego;13,588;2,499;32,376;4,703
23028 Cazorla;6,150;219;17,226;428
24089 León;46,398;9,865;72,410;13,437
25025 Naut Aran;9,320;1,900;28,389;3,511
25120 Lleida;13,936;8,582;21,704;12,645
25243 Vielha e Mijaran;19,949;4,405;55,608;9,091
26089 Logroño;30,698;6,656;46,968;10,930
27028 Lugo;15,339;4,040;27,877;6,137
27051 Ribadeo;9,749;2,558;20,662;5,101
27066 Viveiro;5,383;297;18,259;1,157
28079 Madrid;297,726;466,648;516,776;1,032,677
29015 Antequera;10,714;3,672;19,677;5,980
29025 Benalmádena;22,040;49,668;103,486;330,945
29051 Estepona;29,470;39,824;57,094;158,301
29054 Fuengirola;30,791;34,456;125,610;189,059
29067 Málaga;51,631;82,013;118,441;218,301
29069 Marbella;25,434;69,875;77,475;298,404
29075 Nerja;17,307;10,661;51,761;58,449
29084 Ronda;10,725;14,229;18,784;22,273
29901 Torremolinos;65,546;80,057;252,871;477,724
30016 Cartagena;34,285;15,173;114,445;56,236
30030 Murcia;28,369;14,032;46,015;22,794
31201 Pamplona/Iruña;22,583;16,714;41,427;26,059
32054 Ourense;11,741;3,130;22,576;5,076
33012 Cangas de Onís;21,512;2,630;55,499;4,422
33024 Gijón;39,935;8,013;108,998;19,703
33036 Llanes;19,978;4,064;64,464;10,460
33044 Oviedo;46,276;16,933;108,129;29,057
33076 Villaviciosa;4,954;1,405;12,034;1,978
34120 Palencia;10,268;2,452;20,347;3,584
35012 Mogán;18,069;42,457;70,967;331,788
35015 Pájara;18,497;71,511;97,807;626,570
35016 Palmas de Gran Canaria, Las;18,852;12,988;56,074;65,653
35019 San Bartolomé de Tirajana;50,982;110,854;243,980;900,474
35024 Teguise;10,661;23,694;59,681;195,028
35028 Tías;8,083;36,019;48,670;296,153
35034 Yaiza;14,241;50,616;89,892;412,345
36022 Grove, O;19,038;3,172;62,380;8,394
36051 Sanxenxo;50,140;13,551;194,115;40,823
36057 Vigo;34,192;22,570;78,378;40,420
37274 Salamanca;55,931;37,865;84,433;47,145
38001 Adeje;21,177;112,465;105,978;854,582
38006 Arona;15,794;61,871;75,048;465,972
38028 Puerto de la Cruz;36,857;29,864;189,100;213,331
38038 Santa Cruz de Tenerife;10,768;5,763;24,508;19,270
39075 Santander;30,168;16,545;76,582;29,428
40194 Segovia;26,302;6,798;46,743;12,197
41091 Sevilla;97,673;159,752;161,189;361,466
42173 Soria;12,200;1,260;23,233;1,855
43038 Cambrils;26,691;15,300;121,540;96,324
43148 Tarragona;13,077;18,768;27,431;41,949
43905 Salou;101,210;134,064;367,767;809,779
44009 Albarracín;6,906;426;11,849;853
44216 Teruel;14,127;2,174;26,346;4,527
45168 Toledo;42,701;18,301;68,336;28,656
46131 Gandia;37,650;5,012;178,175;23,763
46250 València;69,395;113,098;144,890;346,495
47186 Valladolid;26,540;16,480;44,610;21,775
48020 Bilbao;51,101;75,674;110,154;160,984
49275 Zamora;13,040;1,989;21,441;2,838
50297 Zaragoza;70,866;43,815;106,955;68,580
